OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,DECADES,Shape__Area,Shape__Length,Containment_Duration,Month,Decade,C_METHOD_DESCRIPTION,CAUSE_DESCRIPTION
3,2023,CA,CDF,AEU,JACKSON,00017640,2023-07-01 00:00:00+00:00,2023-07-02 00:00:00+00:00,2.0,1.0,1.0,27.81446,2020.0,183028.5,2697.58742917456,24.0,7,2020,Direct Attack (Hand Crews & Tools),Equipment Use
5,2023,CA,CDF,AEU,LIBERTY,00018876,2023-07-11 00:00:00+00:00,2023-07-12 00:00:00+00:00,14.0,1.0,1.0,70.979,2020.0,466456.0078125,5106.93652582734,24.0,7,2020,Direct Attack (Hand Crews & Tools),Unknown
8,2023,CA,CDF,BEU,VINEYARD,00004022,2023-07-09 00:00:00+00:00,2023-07-10 00:00:00+00:00,14.0,1.0,1.0,391.3749,2020.0,2412533.5546875,10733.8123075036,24.0,7,2020,Direct Attack (Hand Crews & Tools),Unknown
9,2023,CA,CDF,BEU,SLACKS,00004156,2023-07-15 00:00:00+00:00,2023-07-17 00:00:00+00:00,10.0,1.0,1.0,40.41796,2020.0,249660.2734375,2407.16695678565,48.0,7,2020,Direct Attack (Hand Crews & Tools),Fireworks
11,2023,CA,CDF,SHU,WONDER,00008060,2023-07-24 00:00:00+00:00,2023-07-28 00:00:00+00:00,6.0,1.0,1.0,161.8137,2020.0,1141858.58984375,7184.88555633728,96.0,7,2020,Direct Attack (Hand Crews & Tools),Railroad
14,2023,CA,CDF,BTU,TURKEY,00014148,2023-07-26 00:00:00+00:00,2023-07-31 00:00:00+00:00,7.0,1.0,1.0,52.17383,2020.0,354598.3046875,3866.55622041301,120.0,7,2020,Direct Attack (Hand Crews & Tools),Arson
16,2023,CA,CDF,RRU,RABBIT,00102458,2023-07-14 00:00:00+00:00,2023-07-23 00:00:00+00:00,10.0,1.0,1.0,8354.776,2020.0,49193097.9453125,47639.7437077098,216.0,7,2020,Direct Attack (Hand Crews & Tools),Fireworks
17,2023,CA,CDF,RRU,HIGHLAND,00102435,2023-07-14 00:00:00+00:00,2023-07-23 00:00:00+00:00,14.0,1.0,1.0,104.0207,2020.0,612635.0234375,3915.57257152357,216.0,7,2020,Direct Attack (Hand Crews & Tools),Unknown
18,2023,CA,CDF,RRU,RECHE,00102379,2023-07-14 00:00:00+00:00,2023-07-23 00:00:00+00:00,7.0,2.0,1.0,435.684,2020.0,2570257.99609375,8565.27516599609,216.0,7,2020,Indirect Attack (Firebreaks & Barriers),Arson
19,2023,CA,CDF,RRU,GAVILAN,00103039,2023-07-15 00:00:00+00:00,2023-07-23 00:00:00+00:00,14.0,2.0,1.0,334.5828,2020.0,1966205.47265625,7959.66657521688,192.0,7,2020,Indirect Attack (Firebreaks & Barriers),Unknown
20,2023,CA,LRA,RRU,RAMONA,00074508,2023-05-22 00:00:00+00:00,2023-05-26 00:00:00+00:00,2.0,1.0,1.0,337.9316,2020.0,1986003.47265625,7664.10111785175,96.0,5,2020,Direct Attack (Hand Crews & Tools),Equipment Use
22,2023,CA,CDF,MEU,1-10,00009853,2023-08-15 00:00:00+00:00,2023-08-18 00:00:00+00:00,1.0,1.0,1.0,56.87772,2020.0,392924.71875,3555.76506096679,72.0,8,2020,Direct Attack (Hand Crews & Tools),Lightning
25,2023,CA,CDF,RRU,HIGHLAND,00160976,2023-10-30 00:00:00+00:00,2023-11-08 00:00:00+00:00,9.0,7.0,1.0,2487.0,2020.0,14121208.0507812,47327.1125758144,216.0,10,2020,Mop-up (Extinguishing Hot Spots),Miscellaneous
37,2023,CA,CCO,KRN,PENTLAND,23-25892,2023-06-05 00:00:00+00:00,2023-06-06 00:00:00+00:00,14.0,1.0,1.0,83.47556,2020.0,504927.51171875,4146.01597875623,24.0,6,2020,Direct Attack (Hand Crews & Tools),Unknown
40,2023,CA,CCO,KRN,TANK,23-28282,2023-06-20 00:00:00+00:00,2023-06-21 00:00:00+00:00,14.0,1.0,1.0,5.777378,2020.0,35535.09375,1446.9448978274,24.0,6,2020,Direct Attack (Hand Crews & Tools),Unknown
46,2023,CA,CCO,KRN,TRUCK,23-30046,2023-06-30 00:00:00+00:00,2023-07-01 00:00:00+00:00,14.0,1.0,1.0,17.15697,2020.0,103697.05078125,2221.2211032266,24.0,6,2020,Direct Attack (Hand Crews & Tools),Unknown
48,2023,CA,CCO,KRN,CANYON,23-30325,2023-07-02 00:00:00+00:00,2023-07-03 00:00:00+00:00,14.0,1.0,1.0,9.05986,2020.0,54912.9453125,1875.04816244704,24.0,7,2020,Direct Attack (Hand Crews & Tools),Unknown
53,2023,CA,CCO,KRN,DISTRICT,23-31430,2023-07-07 00:00:00+00:00,2023-07-12 00:00:00+00:00,14.0,2.0,1.0,1043.665,2020.0,6292144.94140625,12913.9059085782,120.0,7,2020,Indirect Attack (Firebreaks & Barriers),Unknown
54,2023,CA,CCO,KRN,BODFISH,23-33592,2023-07-19 00:00:00+00:00,2023-07-20 00:00:00+00:00,14.0,1.0,1.0,52.75753,2020.0,321188.984375,2453.60466606071,24.0,7,2020,Direct Attack (Hand Crews & Tools),Unknown
55,2023,CA,CCO,KRN,SCODIE,23-35185,2023-07-28 00:00:00+00:00,2023-07-31 00:00:00+00:00,14.0,1.0,1.0,20.61374,2020.0,126800.3203125,4049.18938777411,72.0,7,2020,Direct Attack (Hand Crews & Tools),Unknown
56,2023,CA,CCO,KRN,BEALE,23-35614,2023-07-31 00:00:00+00:00,2023-08-01 00:00:00+00:00,14.0,1.0,1.0,60.6251,2020.0,368792.39453125,3734.17974082288,24.0,7,2020,Direct Attack (Hand Crews & Tools),Unknown
57,2023,CA,CCO,KRN,HABERKERN,23-35677,2023-07-31 00:00:00+00:00,2023-08-01 00:00:00+00:00,14.0,1.0,1.0,34.74714,2020.0,209238.98828125,3222.64980333255,24.0,7,2020,Direct Attack (Hand Crews & Tools),Unknown
60,2023,CA,CCO,KRN,EDMONSTON,23-36091,2023-08-03 00:00:00+00:00,2023-08-04 00:00:00+00:00,14.0,1.0,1.0,14.59014,2020.0,88044.421875,1789.61277467236,24.0,8,2020,Direct Attack (Hand Crews & Tools),Unknown
61,2023,CA,CCO,KRN,ALMOND,23-36511,2023-08-06 00:00:00+00:00,2023-08-07 00:00:00+00:00,14.0,1.0,1.0,5228.871,2020.0,32043957.1210938,45656.0660909036,24.0,8,2020,Direct Attack (Hand Crews & Tools),Unknown
